"Distracted","Drugs","NoRestraint","MultiFatality","Fire","HitAndRun","Speeding","previous_recorded_crashes","previous_dwi_convictions","previous_recorded_suspensions_and_revocations","travel_speed","Makers","DrunkDrivers","Incl_Weather","Intersection","date_of_crash","hour_of_crash"
0,0,1,0,0,0,1,0,0,0,76,"GM",1,0,0,2015-08-26,15
0,0,0,0,0,0,1,0,0,0,70,"GM",0,1,0,2015-04-03,17
0,0,1,0,0,0,0,0,0,0,55,"GM",1,0,0,2015-11-18,22
1,0,1,0,0,0,0,0,0,0,55,"GM",1,0,0,2015-11-18,22
0,0,1,0,0,0,0,0,0,0,55,"GM",1,0,0,2015-11-18,22
1,0,1,0,0,0,0,0,0,0,55,"GM",1,0,0,2015-11-18,22
0,0,1,0,0,0,1,0,0,0,46,"GM",1,0,0,2015-03-26,22
0,0,1,0,0,0,1,0,0,0,46,"GM",1,0,0,2015-03-26,22
0,0,0,0,0,0,0,0,0,0,70,"GM",0,0,0,2015-04-22,21
0,0,0,0,0,0,0,0,0,0,70,"GM",0,0,0,2015-04-22,21
1,0,0,0,0,0,0,0,0,0,30,"GM",0,0,0,2015-05-17,22
1,0,0,0,0,0,0,0,0,0,30,"GM",0,0,0,2015-05-17,22
1,0,0,0,0,0,0,0,0,0,30,"GM",0,0,0,2015-05-17,22
1,0,0,0,0,0,0,0,0,0,55,"GM",0,0,1,2015-07-23,19
1,0,0,0,0,0,0,0,0,0,55,"GM",0,0,1,2015-07-23,19
1,0,0,0,0,0,0,0,0,0,55,"GM",0,0,1,2015-07-23,19
1,0,0,0,0,0,0,0,0,0,55,"GM",0,0,1,2015-07-23,19
0,0,0,0,0,0,0,0,0,0,50,"GM",0,1,0,2015-12-25,18
1,0,0,0,0,0,0,0,0,0,50,"GM",0,1,0,2015-12-25,18
0,0,1,0,0,0,0,0,0,0,50,"GM",0,1,0,2015-12-25,18
1,0,1,0,0,0,0,0,0,0,50,"GM",0,1,0,2015-12-25,18
0,0,0,0,0,1,0,0,0,0,70,"GM",0,1,1,2015-04-11,21
1,0,0,0,0,1,0,0,0,0,70,"GM",0,1,1,2015-04-11,21
0,1,0,0,0,1,0,0,0,0,70,"GM",0,1,1,2015-04-11,21
1,1,0,0,0,1,0,0,0,0,70,"GM",0,1,1,2015-04-11,21
0,0,0,0,0,1,0,0,0,0,70,"GM",0,1,1,2015-04-11,21
1,0,0,0,0,1,0,0,0,0,70,"GM",0,1,1,2015-04-11,21
0,0,0,0,0,0,1,0,0,1,65,"GM",1,1,0,2015-08-01,14
1,0,0,0,0,0,1,0,0,1,65,"GM",1,1,0,2015-08-01,14
0,0,0,0,0,0,1,0,0,1,65,"GM",1,1,0,2015-08-01,14
1,0,0,0,0,0,1,0,0,1,65,"GM",1,1,0,2015-08-01,14
0,0,0,0,0,0,1,0,0,1,65,"GM",1,1,0,2015-08-01,14
1,0,0,0,0,0,1,0,0,1,65,"GM",1,1,0,2015-08-01,14
0,0,0,1,0,0,0,0,0,0,0,"GM",1,1,1,2015-09-25,20
0,0,0,1,0,0,0,0,0,0,0,"GM",1,1,1,2015-09-25,20
0,0,0,1,0,0,0,0,0,0,0,"GM",1,1,1,2015-09-25,20
0,0,0,0,0,0,0,0,0,0,45,"GM",1,0,1,2015-05-23,1
1,0,0,0,0,0,0,0,0,0,45,"GM",1,0,1,2015-05-23,1
0,0,0,0,0,0,0,0,0,0,45,"GM",1,0,1,2015-05-23,1
1,0,0,0,0,0,0,0,0,0,45,"GM",1,0,1,2015-05-23,1
1,0,1,0,0,0,1,0,0,0,60,"GM",1,0,0,2015-03-08,6
1,0,1,0,0,0,1,0,0,1,90,"GM",0,0,0,2015-11-20,13
1,0,0,0,0,0,0,0,0,0,45,"GM",0,0,1,2015-05-04,5
1,1,0,0,0,0,0,0,0,1,70,"GM",1,0,0,2015-08-23,22
0,0,1,0,0,0,1,0,0,0,70,"GM",1,0,0,2015-06-28,21
0,0,1,0,0,0,1,0,0,0,70,"GM",1,0,0,2015-06-28,21
