state_name,Cars Per State
California,34514976.91
Texas,19368011.12
Florida,18358381.36
New York,11430482.94
Ohio,10970149.79
Pennsylvania,10845171.87
Illinois,10574626.31
North Carolina,8288149.249
Georgia,8269024.889
Michigan,7591688.783
Virginia,7578042.548
Washington,6860875.515
New Jersey,6655737.941
Arizona,5557497.629
Tennessee,5487020.516
Indiana,5445808.371
Massachusetts,5388080.052
Alabama,5338935.844
Missouri,5253564.492
Wisconsin,5047924.445
Minnesota,4865162.117
Maryland,4618127.633
South Carolina,4301069.43
Colorado,4224927.224
Kentucky,4004804.266
Oregon,3467242.161
Louisiana,3331160.754
Oklahoma,3223358.067
Connecticut,3160628.387
Iowa,3045526.986
Nevada,2447773.275
Kansas,2291181.616
Arkansas,2202944.999
Utah,2198270.83
Mississippi,1964873.234
Nebraska,1636606.374
New Mexico,1545273.12
Idaho,1420718.213
West Virginia,1366257.138
New Hampshire,1237465.097
Hawaii,1207206.867
Delaware,1044693.037
Montana,1031123.925
Rhode Island,1019546.01
Maine,956402.6664
South Dakota,852044.8416
North Dakota,568701.4166
Vermont,536524.4402
Wyoming,494557.4176
Dist. of Col.,483386.1547
Alaska,428291.7297
